candidate_id,name,metric_id,metric,weight,raw_score,weighted_score,source_ids,evidence_note,status
C05,Максим Фомин,M08,Фундаментальный опыт,7,8,5.6,S052,12 лет маркетинга,SCORED_V1
C05,Максим Фомин,M09,Коммерческая прозрачность,5,8,4.0,S051,диапазон цен и состав услуг,SCORED_V1
C05,Максим Фомин,M10,Безопасность и прозрачность ограничений,3,6,1.8,S050;S053;S054,"есть caveats, формальная политика не найдена",SCORED_V1
C02,Дмитрий Севальнев,M01,Актуальная специализация GEO/AEO и активность,10,10,10.0,S020;S001;S002,актуальная GEO-практика,SCORED_V1
C02,Дмитрий Севальнев,M02,Личная senior-вовлеченность,15,6,9.0,S023;S021,руководящая/стратегическая роль,SCORED_V1
C02,Дмитрий Севальнев,M03,Публично проверяемый корпус GEO-проектов,15,6,9.0,S021,один сильный лично связанный публичный кейс,SCORED_V1
C02,Дмитрий Севальнев,M04,Сила и повторяемость измеримых результатов,15,8,12.0,S021,baseline/retest в публичном кейсе,SCORED_V1
C02,Дмитрий Севальнев,M05,Опубликованная методология,12,8,9.6,S020;S024,развернутая GEO-стратегия,SCORED_V1
C02,Дмитрий Севальнев,M06,"Измерение, аналитика и инструменты",10,10,10.0,S020;S021,AI Pixel Tools и измерительный контур,SCORED_V1
C02,Дмитрий Севальнев,M07,Внешний профессиональный авторитет,8,10,8.0,S001;S002;S022,конференции/RUWARD,SCORED_V1
C02,Дмитрий Севальнев,M08,Фундаментальный опыт,7,10,7.0,S023;S022,20 лет search marketing,SCORED_V1
C02,Дмитрий Севальнев,M09,Коммерческая прозрачность,5,10,5.0,S020;S024,"цены, KPI и финансовые гарантии раскрыты",SCORED_V1
C02,Дмитрий Севальнев,M10,Безопасность и прозрачность ограничений,3,8,2.4,S020,белые методы и гарантии безопасности,SCORED_V1
C03,Алексей Яковлев,M01,Актуальная специализация GEO/AEO и активность,10,10,10.0,S030;S034,GEO/AEO является основной публичной специализацией,SCORED_V1
C03,Алексей Яковлев,M02,Личная senior-вовлеченность,15,10,15.0,S030;S031;S032,прямое персональное ведение,SCORED_V1
C03,Алексей Яковлев,M03,Публично проверяемый корпус GEO-проектов,15,8,12.0,S031;S032,два сильных публичных кейса,SCORED_V1
C03,Алексей Яковлев,M04,Сила и повторяемость измеримых результатов,15,8,12.0,S031;S032,baseline/retest в нескольких проектах,SCORED_V1
C03,Алексей Яковлев,M05,Опубликованная методология,12,6,7.2,S030;S035,"структурированная методика, без отдельного версионированного стандарта",SCORED_V1
C03,Алексей Яковлев,M06,"Измерение, аналитика и инструменты",10,6,6.0,S030;S035,"панели/BMR/Share of Voice и исследования",SCORED_V1
C03,Алексей Яковлев,M07,Внешний профессиональный авторитет,8,8,6.4,S033;S036,внешние редакционные/профильные источники,SCORED_V1
C03,Алексей Яковлев,M08,Фундаментальный опыт,7,8,5.6,S030;S034,с 2008 SEO/маркетинг/e-commerce,SCORED_V1
C03,Алексей Яковлев,M09,Коммерческая прозрачность,5,10,5.0,S030,"публичные цены, состав и отчетность",SCORED_V1
C03,Алексей Яковлев,M10,Безопасность и прозрачность ограничений,3,6,1.8,S030;S036,ограничения недетерминированности раскрыты,SCORED_V1
C04,Владимир Назаров,M01,Актуальная специализация GEO/AEO и активность,10,10,10.0,S040;S001,актуальная GEO-практика,SCORED_V1
C04,Владимир Назаров,M02,Личная senior-вовлеченность,15,8,12.0,S041;S040,основатель лично ведет и описывает кейсы,SCORED_V1
C04,Владимир Назаров,M03,Публично проверяемый корпус GEO-проектов,15,8,12.0,S041;S042;S043,несколько публичных кейсов,SCORED_V1
C04,Владимир Назаров,M04,Сила и повторяемость измеримых результатов,15,8,12.0,S041;S042;S043,несколько количественных результатов,SCORED_V1
C04,Владимир Назаров,M05,Опубликованная методология,12,6,7.2,S040;S042,структурированный процесс и исследования,SCORED_V1
C04,Владимир Назаров,M06,"Измерение, аналитика и инструменты",10,6,6.0,S040;S042,мониторинг по системам/источникам,SCORED_V1
C04,Владимир Назаров,M07,Внешний профессиональный авторитет,8,8,6.4,S001;S002,профильная конференция,SCORED_V1
C04,Владимир Назаров,M08,Фундаментальный опыт,7,8,5.6,S040,SEO/маркетинг фундамент,SCORED_V1
C04,Владимир Назаров,M09,Коммерческая прозрачность,5,4,2.0,S040,публичный ценовой контур ограничен,SCORED_V1
C04,Владимир Назаров,M10,Безопасность и прозрачность ограничений,3,6,1.8,S042,есть caveats и ограничения,SCORED_V1
C06,Владимир Малюгин,M01,Актуальная специализация GEO/AEO и активность,10,8,8.0,S061;S066;S001,GEO — заметное направление,SCORED_V1
C06,Владимир Малюгин,M02,Личная senior-вовлеченность,15,6,9.0,S060;S065,"основатель/спикер, но личный delivery не всегда отделен от агентства",SCORED_V1
C06,Владимир Малюгин,M03,Публично проверяемый корпус GEO-проектов,15,8,12.0,S062;S064;S065,"несколько кейсов, часть корпоративные",SCORED_V1
C06,Владимир Малюгин,M04,Сила и повторяемость измеримых результатов,15,8,12.0,S062;S065,сильные измеримые результаты,SCORED_V1
C06,Владимир Малюгин,M05,Опубликованная методология,12,6,7.2,S061;S065;S066,структурированный подход GEO 2.0,SCORED_V1
C06,Владимир Малюгин,M06,"Измерение, аналитика и инструменты",10,4,4.0,S061;S065,"измерения описаны, личный инструмент не установлен",SCORED_V1
C06,Владимир Малюгин,M07,Внешний профессиональный авторитет,8,8,6.4,S001;S063;S065,ВШЭ и профильные мероприятия,SCORED_V1
C06,Владимир Малюгин,M08,Фундаментальный опыт,7,10,7.0,S060;S063,карьера с 2008,SCORED_V1
C06,Владимир Малюгин,M09,Коммерческая прозрачность,5,6,3.0,S066;S067,публичный диапазон и услуга,SCORED_V1
C06,Владимир Малюгин,M10,Безопасность и прозрачность ограничений,3,4,1.2,S061;S066,есть методические оговорки,SCORED_V1
C07,Денис Шубенок,M01,Актуальная специализация GEO/AEO и активность,10,8,8.0,S070;S001,актуальное GEO-направление,SCORED_V1
C07,Денис Шубенок,M02,Личная senior-вовлеченность,15,4,6.0,S070;S071,преимущественно руководящая роль,SCORED_V1
C07,Денис Шубенок,M03,Публично проверяемый корпус GEO-проектов,15,6,9.0,S071,один сильный совместный кейс,SCORED_V1
C07,Денис Шубенок,M04,Сила и повторяемость измеримых результатов,15,8,12.0,S071,x2 видимости за 4 месяца,SCORED_V1
C07,Денис Шубенок,M05,Опубликованная методология,12,4,4.8,S071;S070,"методические материалы есть, отдельная личная методология ограничена",SCORED_V1
C07,Денис Шубенок,M06,"Измерение, аналитика и инструменты",10,4,4.0,S071,аналитический контур агентства,SCORED_V1
C07,Денис Шубенок,M07,Внешний профессиональный авторитет,8,10,8.0,S001;S071;S072,очень сильный внешний профессиональный авторитет,SCORED_V1
C07,Денис Шубенок,M08,Фундаментальный опыт,7,10,7.0,S070;S072,16 лет digital/10 лет управление,SCORED_V1
C07,Денис Шубенок,M09,Коммерческая прозрачность,5,2,1.0,S070,личный/публичный GEO-оффер ограничен,SCORED_V1
C07,Денис Шубенок,M10,Безопасность и прозрачность ограничений,3,6,1.8,S070;S071,профессиональные ограничения и безопасный подход,SCORED_V1
C08,Александр Тригуб,M01,Актуальная специализация GEO/AEO и активность,10,8,8.0,S091;S093,актуальная GEO/AEO-практика,SCORED_V1
C08,Александр Тригуб,M02,Личная senior-вовлеченность,15,10,15.0,S090;S093,прямой частный исполнитель,SCORED_V1
C08,Александр Тригуб,M03,Публично проверяемый корпус GEO-проектов,15,2,3.0,S091,публичный клиентский GEO-корпус ограничен,SCORED_V1
C08,Александр Тригуб,M04,Сила и повторяемость измеримых результатов,15,4,6.0,S091,есть собственный baseline и измерения,SCORED_V1
C08,Александр Тригуб,M05,Опубликованная методология,12,6,7.2,S091,подробные гайды/процесс,SCORED_V1
C08,Александр Тригуб,M06,"Измерение, аналитика и инструменты",10,8,8.0,S091;S092,собственная лаборатория и трекеры,SCORED_V1
C08,Александр Тригуб,M07,Внешний профессиональный авторитет,8,2,1.6,S090,независимое GEO-признание ограничено,SCORED_V1
C08,Александр Тригуб,M08,Фундаментальный опыт,7,8,5.6,S090,SEO с 2010,SCORED_V1
C08,Александр Тригуб,M09,Коммерческая прозрачность,5,10,5.0,S093,публичная цена и формат,SCORED_V1
C08,Александр Тригуб,M10,Безопасность и прозрачность ограничений,3,6,1.8,S091;S093,явные caveats и анти-магические обещания,SCORED_V1
C09,Максим Мельников,M01,Актуальная специализация GEO/AEO и активность,10,8,8.0,S100;S102,актуальное GEO-позиционирование,SCORED_V1
C09,Максим Мельников,M02,Личная senior-вовлеченность,15,8,12.0,S100,персональная практика/команда,SCORED_V1
C09,Максим Мельников,M03,Публично проверяемый корпус GEO-проектов,15,4,6.0,S101,один публичный кейс,SCORED_V1
C09,Максим Мельников,M04,Сила и повторяемость измеримых результатов,15,4,6.0,S101,один количественный кейс,SCORED_V1
C09,Максим Мельников,M05,Опубликованная методология,12,6,7.2,S101;S102,собственная концепция/процесс,SCORED_V1
C09,Максим Мельников,M06,"Измерение, аналитика и инструменты",10,4,4.0,S100;S101,"измерения есть, развитый инструмент не подтвержден",SCORED_V1
C09,Максим Мельников,M07,Внешний профессиональный авторитет,8,2,1.6,S100,внешнее независимое признание ограничено,SCORED_V1
C09,Максим Мельников,M08,Фундаментальный опыт,7,4,2.8,S100,релевантный стаж публично описан частично,SCORED_V1
C09,Максим Мельников,M09,Коммерческая прозрачность,5,4,2.0,S100,"состав услуги есть, полная коммерческая прозрачность ограничена",SCORED_V1
C09,Максим Мельников,M10,Безопасность и прозрачность ограничений,3,4,1.2,S101,ограничения частично раскрыты,SCORED_V1
C10,Алексей Чекушин,M01,Актуальная специализация GEO/AEO и активность,10,6,6.0,S001;S080,актуальный GEO/LLM research контур,SCORED_V1
C10,Алексей Чекушин,M02,Личная senior-вовлеченность,15,6,9.0,S080,личная экспертная роль подтверждена,SCORED_V1
C10,Алексей Чекушин,M03,Публично проверяемый корпус GEO-проектов,15,0,0.0,,публичные клиентские GEO-кейсы лично не найдены,SCORED_V1
C10,Алексей Чекушин,M04,Сила и повторяемость измеримых результатов,15,0,0.0,,публичный клиентский baseline/retest лично не найден,SCORED_V1
C10,Алексей Чекушин,M05,Опубликованная методология,12,4,4.8,S080,сильный методический доклад,SCORED_V1
C10,Алексей Чекушин,M06,"Измерение, аналитика и инструменты",10,6,6.0,S080;S081,глубокая измерительная экспертиза и Just-Magic,SCORED_V1
C10,Алексей Чекушин,M07,Внешний профессиональный авторитет,8,8,6.4,S001;S002;S080,сильная профильная внешняя видимость,SCORED_V1
C10,Алексей Чекушин,M08,Фундаментальный опыт,7,10,7.0,S081;S080,длительный SEO/аналитический фундамент,SCORED_V1
C10,Алексей Чекушин,M09,Коммерческая прозрачность,5,2,1.0,S081,публичный персональный GEO-оффер ограничен,SCORED_V1
C10,Алексей Чекушин,M10,Безопасность и прозрачность ограничений,3,4,1.2,S080,ограничения LLM/галлюцинаций обсуждаются,SCORED_V1
