source_id,entity,source_type,publisher,title,url,date_context,primary_or_secondary,independence,used_for
S060,Владимир Малюгин,bio,Digital Geeks,"Владимир Малюгин",https://digitalgeeks.ru/vladimir-maliugin/,2026,primary,owned,"M01;M02;M08"
S061,Владимир Малюгин,article,Digital Geeks,"GEO: как брендам попасть в выдачу AI ассистентов",https://digitalgeeks.ru/blog/geo-kak-brendam-popast-v-vidachy-ai-assistentov/,2026,primary,owned,"M01;M05"
S062,Владимир Малюгин,case,GEOMI,"Кейс Шалом",https://geomi.ru/cases/geo-prodvizhenie-centra-repatriacii,2026,secondary,external_hosted_authored,"M03;M04"
S063,Владимир Малюгин,institutional_profile,НИУ ВШЭ,"Владимир Малюгин",https://marketing.hse.ru/about/team/malyugin,2026,secondary,independent_institutional,"M07;M08"
S070,Денис Шубенок,bio,Ашманов и партнеры,"Денис Шубенок",https://www.ashmanov.com/education/authors/denis-shubenok/,2026,primary,connected_corporate,"M01;M02;M08"
S071,Денис Шубенок,case_recording,Pixel Tools,"Flowwow удвоил видимость в нейросетях",https://ai.pixeltools.ru/geo-videos/flowwow-udvoil-vidimost-v-neyrosetyah,2026,secondary,external_event,"M03;M04;M07"
S072,Денис Шубенок,professional_profile,RUWARD,"RUWARD AWARD 2026 — Денис Шубенок",https://ruward.ru/award/2026/132105/,2026,secondary,external_professional,"M07;M08"
S080,Алексей Чекушин,event_recording,Pixel Tools,"Видимость брендов в LLM",https://ai.pixeltools.ru/geo-videos/vidimost-brendov-v-llm-ii,2026,secondary,external_event,"M01;M05;M06;M07"
S081,Алексей Чекушин,tool,Just-Magic,"Just-Magic",https://just-magic.org/,2026,primary,owned_or_personally_connected,"M06;M08"
S090,Александр Тригуб,bio,trigub.ru,"Александр Тригуб: обо мне",https://trigub.ru/about/,2026,primary,owned,"M01;M02;M08"
S091,Александр Тригуб,research,trigub.ru,"GEO в 2026",https://trigub.ru/geo-v-2026-godu/,2026,primary,owned,"M01;M04;M05;M06"
S092,Александр Тригуб,tool,trigub.ru,"Лаборатория AI SEO и GEO/AEO",https://trigub.ru/laboratoriya/,2026,primary,owned,"M06"
S093,Александр Тригуб,service,trigub.ru,"GEO-продвижение сайта",https://trigub.ru/uslugi/geo-ai-seo/,2026,primary,owned,"M01;M02;M09"
S100,Максим Мельников,bio_service,melnikoff.pro,"Мельников М.А. — эксперт по GEO/AEO",https://melnikoff.pro/,2026,primary,owned,"M01;M02;M09"
S101,Максим Мельников,case,melnikoff.pro,"Кейс №2: продвижение в нейропоиске",https://melnikoff.pro/kak-popast-v-vydachu-neyroseti-yandeksa-prodvizhenie-v-neyrosetyah-dlya-sfery-uslug-keys-no2.html,2025,primary,owned,"M03;M04;M05;M10"
S102,Максим Мельников,method_article,melnikoff.pro,"Что такое Neural Search Optimization и NSO-контент",https://melnikoff.pro/chto-takoe-neural-search-optimization-i-nso-kontent.html,2025,primary,owned,"M05"
S120,multiple,discovery,Sostav,"ТОП-10 специалистов по продвижению в нейросетях по версии ChatGPT",https://www.sostav.ru/blogs/292167/95669,2026,secondary,related_to_participant,"selection_only_not_scoring"
